cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,max_abs_effect_per_1pp
17,s1_r4_t2,1,4,2,0.004344196853606494,0.003335174798232178,0.004620916492840492,0.0,0.0,98893,173,0.045369990170001984,0.0029698927177773467,0.002025895071750824,0.0035487601289322063,0.0,0.0,98893,173,0.045369990170001984,dual_risk,0.004344196853606494
23,s2_r1_t3,2,1,3,0.0019691921080266647,0.0018710982655603266,0.004440020160183824,0.0,0.0,98893,173,0.003615851979702711,0.0024789919373482934,0.0026918732417525893,0.006490947716405981,0.0,0.0,98893,173,0.003615851979702711,dual_risk,0.0024789919373482934
18,s1_r4_t3,1,4,3,0.0021276663036104725,0.0014664485450025402,0.0024417016282021055,0.0,0.0,98893,173,0.05224660038948059,0.0015311147100248435,0.000539917674262119,0.002027832269394716,0.0,0.0,98893,173,0.05224660038948059,dual_risk,0.0021276663036104725
36,s2_r4_t1,2,4,1,0.0015528655440948322,0.0012212874668170687,0.0024349973108849445,0.0,0.0,98893,173,0.13449381291866302,0.0021038336216415883,0.0019510736530201616,0.003658436747123117,0.0,0.0,98893,173,0.13449381291866302,dual_risk,0.0021038336216415883
37,s2_r4_t2,2,4,2,0.0015513587698252505,0.0009706474198915785,0.0023656313169858763,0.0,0.0,98893,173,0.13427955090999608,0.0015335371863552428,0.0008625204079960862,0.00250868635982706,0.0,0.0,98893,173,0.13427955090999608,dual_risk,0.0015513587698252505
38,s2_r4_t3,2,4,3,0.0011593222977219304,0.0011411293555035175,0.0016602102504987757,0.0,0.0,98893,173,0.25587227940559387,0.000988797117795135,0.0008817910144152347,0.001583590082154418,0.0,0.0,98893,173,0.25587227940559387,dual_risk,0.0011593222977219304
45,s3_r1_t5,3,1,5,0.0003213976146840486,3.1991334303529215e-05,0.0010761720672774631,0.0,0.0,98893,173,0.1485312002897268,0.00046601891452899703,0.0001033509816668118,0.0014917409412855776,0.0,0.0,98893,173,0.1485312002897268,dual_risk,0.00046601891452899703
47,s3_r2_t2,3,2,2,0.0002591312016584707,0.00013944015015408752,0.0005379778027291576,0.0,0.0,98893,173,0.2190740555524826,0.0002463217515821456,8.751591918099033e-05,0.0005252095799990461,0.0,0.0,98893,173,0.2190740555524826,dual_risk,0.0002591312016584707
43,s3_r1_t3,3,1,3,0.00010545185817682217,-5.960988441030054e-05,0.000313917684070102,0.8,0.8,98893,173,0.36868507623672486,0.0004349287989850863,0.00024312097823287862,0.000792058476628274,0.0,0.0,98893,173,0.36868507623672486,ir_dominant_risk,0.0004349287989850863
42,s3_r1_t2,3,1,2,0.00026010706118935077,-1.839855649645708e-05,0.00028256022765897425,0.4,0.5116279069767442,98893,173,0.37162289023399353,0.00041817361946716835,3.156230202320578e-05,0.0004792588841748533,0.0,0.0,98893,173,0.37162289023399353,ir_dominant_risk,0.00041817361946716835
10,s1_r2_t5,1,2,5,-0.9405125154168605,-0.9754986407237627,-0.322543226997326,0.0,0.0,98893,173,0.00017586594447493553,-0.8461329021380433,-1.1394807718119067,-0.20452609223217505,0.0,0.0,98893,173,0.00017586594447493553,uncertain,0.9405125154168605
4,s1_r1_t4,1,1,4,-0.7172986911442587,-0.7853452889207226,-0.07519262968649111,0.0,0.0,98893,173,0.0001087327813729645,-0.28928028408637907,-0.7102314650913522,0.2507880014620537,0.4,0.5,98893,173,0.0001087327813729645,uncertain,0.7172986911442587
2,s1_r1_t2,1,1,2,-0.5709814347992592,-0.9492818542107107,-0.31223948443449745,0.0,0.0,98893,173,0.0001525331899756566,-0.7064794190621766,-1.0942634281986687,-0.5091682021225615,0.0,0.0,98893,173,0.0001525331899756566,uncertain,0.7064794190621766
9,s1_r2_t4,1,2,4,-0.438873922974228,-0.5843096254156499,-0.2143399774223016,0.0,0.0,98893,173,0.00016007463680580263,-0.6358187503903228,-0.6954537557640483,-0.3492167313575671,0.0,0.0,98893,173,0.00016007463680580263,uncertain,0.6358187503903228
3,s1_r1_t3,1,1,3,-0.34488676989340256,-0.7761101480635023,-0.10531441136345573,0.0,0.0,98893,173,0.00011592697293963286,0.004131484074160344,-0.6940558333513753,0.5154570827048949,0.8,0.8,98893,173,0.00011592697293963286,uncertain,0.34488676989340256
1,s1_r1_t1,1,1,1,-0.003385885103681646,-0.7127800873834432,0.28495982932634983,0.4,0.5116279069767442,98893,173,0.00010692518844734877,-0.07151817694704163,-0.9731967429247661,0.30261094264729066,0.4,0.5,98893,173,0.00010692518844734877,uncertain,0.07151817694704163
52,s3_r3_t2,3,3,2,-0.012507859935431648,-0.027376802090791404,0.021317598291447394,0.4,0.5116279069767442,98893,173,0.0,-0.02266449710151191,-0.04140994847046437,0.02334370025339255,0.8,0.8,98893,173,0.0,uncertain,0.02266449710151191
6,s1_r2_t1,1,2,1,0.010112045163598064,-0.008400247501596222,0.011150188484445689,0.8,0.8,98893,173,0.00015642800310160967,0.017808955741560464,-0.005861244745670118,0.01836933719860109,0.4,0.5,98893,173,0.00015642800310160967,uncertain,0.017808955741560464
53,s3_r3_t3,3,3,3,-0.0023402735912742578,-0.01981579702192262,0.014158330428590866,0.8,0.8,98893,173,0.0,0.0048706166315493175,-0.019029758221868604,0.023364964883297264,0.8,0.8,98893,173,0.0,uncertain,0.0048706166315493175
13,s1_r3_t3,1,3,3,-0.0035722524957007367,-0.004168848472647932,-0.0017749774740296394,0.0,0.0,98893,173,0.05252561315894127,-0.002286185676840288,-0.0026250125997013115,-0.0010044740907208037,0.0,0.0,98893,173,0.05252561315894127,uncertain,0.0035722524957007367
25,s2_r1_t5,2,1,5,-0.001753853149774018,-0.002396292798318089,-0.0011370761806663487,0.0,0.0,98893,173,0.002007070481777191,-0.0035555280757524127,-0.003598737006510021,-0.002377315514130408,0.0,0.0,98893,173,0.002007070481777191,uncertain,0.0035555280757524127
