cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
25,share_25,y_ir_rise_h,98893,173,1.8302010279367667e-05,0.20990618503757896,-0.028684779750894895,,0.0,0.0,0.002007070481777191,0.002007070481777191,5,-0.0035555280757524127,-0.017777640378762064,-0.003598737006510021,-0.002377315514130408,0.0,0.0,0.0035555280757524127,2,1,5,s2_r1_t5
17,share_17,y_ir_rise_h,98893,173,0.0001348391505188725,0.20990618503757896,0.16213740444566427,,0.0,0.0,0.045369990170001984,0.045369990170001984,5,0.0029698927177773467,0.014849463588886733,0.002025895071750824,0.0035487601289322063,0.0,0.0,0.0029698927177773467,1,4,2,s1_r4_t2
23,share_23,y_ir_rise_h,98893,173,2.5918304427860272e-05,0.20990618503757896,-0.006090661002997155,,0.0,0.0,0.003615851979702711,0.003615851979702711,5,0.0024789919373482934,0.012394959686741468,0.0026918732417525893,0.006490947716405981,0.0,0.0,0.0024789919373482934,2,1,3,s2_r1_t3
13,share_13,y_ir_rise_h,98893,173,0.00010249829769554441,0.20990618503757896,0.07788361950072564,,0.0,0.0,0.05252561315894127,0.05252561315894127,5,-0.002286185676840288,-0.01143092838420144,-0.0026250125997013115,-0.0010044740907208037,0.0,0.0,0.002286185676840288,1,3,3,s1_r3_t3
30,share_30,y_ir_rise_h,98893,173,0.0010760535637679817,0.20990618503757896,0.6148677422358426,,0.0,0.0,0.1710815131664276,0.1710815131664276,5,-0.0022252623840891394,-0.011126311920445699,-0.0025774572321110626,-0.0017180226009338648,0.0,0.0,0.0022252623840891394,2,2,5,s2_r2_t5
36,share_36,y_ir_rise_h,98893,173,0.0004402869904822347,0.20990618503757896,0.052613621608246786,,0.0,0.0,0.13449381291866302,0.13449381291866302,5,0.0021038336216415883,0.010519168108207943,0.0019510736530201616,0.003658436747123117,0.0,0.0,0.0021038336216415883,2,4,1,s2_r4_t1
15,share_15,y_ir_rise_h,98893,173,0.0001241260127364898,0.20990618503757896,0.16347501554760857,,0.0,0.0,0.052525561302900314,0.052525561302900314,5,-0.0020941498664334268,-0.010470749332167134,-0.003933805628339725,-0.0013828032052844966,0.0,0.0,0.0020941498664334268,1,3,5,s1_r3_t5
12,share_12,y_ir_rise_h,98893,173,8.882320129600584e-05,0.20990618503757896,0.22347263880075885,,0.0,0.0,0.05441289395093918,0.05441289395093918,5,-0.001959737370726692,-0.009798686853633462,-0.005977428133970766,-0.0011412790827686878,0.0,0.0,0.001959737370726692,1,3,2,s1_r3_t2
14,share_14,y_ir_rise_h,98893,173,7.880608354112938e-05,0.20990618503757896,0.060030425334049786,,0.0,0.0,0.04990418255329132,0.04990418255329132,5,-0.001678812352926504,-0.00839406176463252,-0.0018861320984313705,-0.0002778294355370702,0.0,0.0,0.001678812352926504,1,3,4,s1_r3_t4
20,share_20,y_ir_rise_h,98893,173,0.00020862057063268682,0.20990618503757896,0.4206682180904642,,0.0,0.0,0.060530852526426315,0.060530852526426315,5,-0.0016154906382540941,-0.00807745319127047,-0.0020302490731699025,-0.0006467385066364453,0.0,0.0,0.0016154906382540941,1,4,5,s1_r4_t5
