monotonic_violation_count,monotonic_violation_rate,max_positive_jump,mean_positive_jump,total_positive_jump,curve_has_violation,series,method,block_id,policy,cell_code,input_start_cycle,input_end_cycle
24,0.4897959183673469,0.006434082984924316,0.0017035380005836303,0.040884912014007124,1,direct_retention,direct_retention,721,5_6C_19PER_4_6C_NEWSTRUCTURE,737390,601,700
20,0.40816326530612246,0.006281673908233754,0.00213148295879364,0.0426296591758728,1,direct_retention,direct_retention,722,5_6C_26PER_4_5C,737370,1,100
20,0.40816326530612246,0.007617771625518799,0.0028605997562408613,0.05721199512481723,1,direct_retention,direct_retention,723,5_6C_26PER_4_5C,737370,151,250
14,0.2857142857142857,0.003475487232208252,0.0017790155751364572,0.0249062180519104,1,direct_retention,direct_retention,724,5_6C_26PER_4_5C,737370,301,400
24,0.4897959183673469,0.001593172550201083,0.0006758595506350199,0.01622062921524048,1,direct_retention,direct_retention,725,5_6C_26PER_4_5C_NEWSTRUCTURE,737241,1,100
27,0.5510204081632653,0.004672706127166748,0.000751963368168596,0.02030301094055209,1,direct_retention,direct_retention,726,5_6C_26PER_4_5C_NEWSTRUCTURE,737241,151,250
24,0.4897959183673469,0.003939807415008656,0.0012611324588457605,0.03026717901229825,1,direct_retention,direct_retention,727,5_6C_26PER_4_5C_NEWSTRUCTURE,737241,301,400
24,0.4897959183673469,0.007160604000091664,0.002214359740416232,0.05314463376998957,1,direct_retention,direct_retention,728,5_6C_26PER_4_5C_NEWSTRUCTURE,737241,451,550
25,0.5102040816326531,0.007706165313720592,0.0019838762283325194,0.04959690570831299,1,direct_retention,direct_retention,729,5_6C_26PER_4_5C_NEWSTRUCTURE,737241,601,700
20,0.40816326530612246,0.009073495864868053,0.002786964178085316,0.05573928356170632,1,direct_retention,direct_retention,730,5_6C_26PER_4_5C_NEWSTRUCTURE,737241,751,850
22,0.4489795918367347,0.0024082064628602184,0.0008779737082394737,0.01931542158126842,1,direct_retention,direct_retention,731,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,1,100
20,0.40816326530612246,0.0011670589447022595,0.0005959898233413863,0.011919796466827726,1,direct_retention,direct_retention,732,5_6C_36PER_4_3C_NEWSTRUCTURE,737275,151,250
