n_rows,mse,rmse,mae,r2,stage,method,set_type,target,horizon,horizon_step,monotonic_violation_rate,curve_has_violation_rate
251,0.00014366627694823667,0.011986086807137544,0.007458631735873889,0.9042334989668174,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H20,20,0.4573542564436133,1.0
251,0.00013565471476060606,0.011647090398919641,0.007194418593706832,0.9110756112497844,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H21,21,0.4573542564436133,1.0
251,0.00014523210703389105,0.012051228445013025,0.0075783620317618735,0.9059517621790117,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H22,22,0.4573542564436133,1.0
251,0.00014405324282190592,0.012002218245887129,0.0076296410237650415,0.9082163338078078,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H23,23,0.4573542564436133,1.0
251,0.0001385420967826386,0.01177039068096886,0.0075841211227781775,0.9128512828698354,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H24,24,0.4573542564436133,1.0
251,0.00015719117369969755,0.01253759042638168,0.008000935453817666,0.9025586095029192,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H25,25,0.4573542564436133,1.0
251,0.0001459165237779403,0.012079591209057544,0.007702370088888834,0.9110208597269327,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H26,26,0.4573542564436133,1.0
251,0.00014761928857187707,0.01214986784174532,0.007754603705083225,0.9109919883670657,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H27,27,0.4573542564436133,1.0
251,0.0001520426588376246,0.012330557928886455,0.00775313234899147,0.909579504116893,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H28,28,0.4573542564436133,1.0
251,0.00014277870025463887,0.011949004153260591,0.007629184846384111,0.9163201091388559,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H29,29,0.4573542564436133,1.0
251,0.00014540902675655586,0.012058566529922031,0.007761808743039928,0.9159820726612756,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H30,30,0.4573542564436133,1.0
251,0.00015103745479264037,0.012289729646849046,0.007701682142052521,0.9137977630514003,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H31,31,0.4573542564436133,1.0
251,0.00014825735470116262,0.01217609767951796,0.007677091307849041,0.9164242488180727,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H32,32,0.4573542564436133,1.0
251,0.0001494440420362975,0.012224730755165837,0.007756652110126384,0.917060059482905,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H33,33,0.4573542564436133,1.0
251,0.00014961918184745613,0.012231891997865911,0.007766696323911509,0.9181249995176107,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H34,34,0.4573542564436133,1.0
251,0.00014942691968950966,0.012224030419199294,0.007944216053799327,0.9193468002646742,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H35,35,0.4573542564436133,1.0
251,0.00014793402136986628,0.012162813053314035,0.007941908332931092,0.921005729759926,monotonic_postprocess_retention_prediction,direct_retention,valid,retention,H36,36,0.4573542564436133,1.0
