model_name,n_estimators,train_mse,valid_mse
F2_F1_plus_60inc_plus_stats,5,2.711299529444284e-05,0.0005715523303976585
F2_F1_plus_60inc_plus_stats,6,2.6072012612870262e-05,0.0005656290675131071
F2_F1_plus_60inc_plus_stats,7,2.4612314003608126e-05,0.0005685143033441183
F2_F1_plus_60inc_plus_stats,8,2.3740989278020335e-05,0.0005667182447970258
F2_F1_plus_60inc_plus_stats,9,2.271635783039326e-05,0.0005322315660795424
F2_F1_plus_60inc_plus_stats,10,2.176711075403218e-05,0.0005373976597973371
F2_F1_plus_60inc_plus_stats,11,2.0701770916421253e-05,0.0005160921685919936
F2_F1_plus_60inc_plus_stats,12,2.0212197515351357e-05,0.0005230598211007706
F2_F1_plus_60inc_plus_stats,13,1.9960691977756246e-05,0.000528019818430503
F2_F1_plus_60inc_plus_stats,14,2.0032468161131326e-05,0.000506457350133991
F2_F1_plus_60inc_plus_stats,15,1.9363439966543806e-05,0.0005116098876803767
F2_F1_plus_60inc_plus_stats,16,1.8448279458472016e-05,0.0005228445274489215
F2_F1_plus_60inc_plus_stats,17,1.8569456162450794e-05,0.0005200501070767658
F2_F1_plus_60inc_plus_stats,18,1.8460096317431688e-05,0.0005168933709160676
F2_F1_plus_60inc_plus_stats,19,1.829719227546103e-05,0.0005129044452215875
F2_F1_plus_60inc_plus_stats,20,1.7914362837622813e-05,0.0005138192089812422
F2_F1_plus_60inc_plus_stats,21,1.7516935926506444e-05,0.0005205148287699903
F2_F1_plus_60inc_plus_stats,22,1.7410402100501087e-05,0.0005146824043861541
F2_F1_plus_60inc_plus_stats,23,1.7148088560785627e-05,0.0005186925896357
F2_F1_plus_60inc_plus_stats,24,1.7467640149816203e-05,0.0005217094745082791
F2_F1_plus_60inc_plus_stats,25,1.7666149467653125e-05,0.0005233369819249768
F2_F1_plus_60inc_plus_stats,26,1.7482483989613333e-05,0.0005307926038456302
F2_F1_plus_60inc_plus_stats,27,1.739290103427697e-05,0.0005318011419191171
F2_F1_plus_60inc_plus_stats,28,1.7529723522861887e-05,0.0005285833216845347
F2_F1_plus_60inc_plus_stats,29,1.752284835818198e-05,0.0005244071405786861
F2_F1_plus_60inc_plus_stats,30,1.7601052828759938e-05,0.0005229087039485421
F2_F1_plus_60inc_plus_stats,31,1.7507569019744958e-05,0.0005179402705717985
F2_F1_plus_60inc_plus_stats,32,1.772034257628753e-05,0.0005215451558772886
F2_F1_plus_60inc_plus_stats,33,1.756071714884993e-05,0.0005205590431803418
F2_F1_plus_60inc_plus_stats,34,1.7479378026775664e-05,0.0005195115293117853
F2_F1_plus_60inc_plus_stats,35,1.745142438176351e-05,0.0005270070802804542
F2_F1_plus_60inc_plus_stats,36,1.7527585659529533e-05,0.0005277668031546343
F2_F1_plus_60inc_plus_stats,37,1.7811271457503465e-05,0.0005228552346089666
F2_F1_plus_60inc_plus_stats,38,1.7870718681139323e-05,0.0005174201006625779
F2_F1_plus_60inc_plus_stats,39,1.782020634264844e-05,0.0005245000620818189
F2_F1_plus_60inc_plus_stats,40,1.7760166618201403e-05,0.0005233454035764301
F2_F1_plus_60inc_plus_stats,41,1.7740864159846e-05,0.0005171841016993632
F2_F1_plus_60inc_plus_stats,42,1.7652159062583217e-05,0.0005139184085269215
F2_F1_plus_60inc_plus_stats,43,1.7456035369332673e-05,0.0005139870539480913
F2_F1_plus_60inc_plus_stats,44,1.7299647300166452e-05,0.0005116234193364147
F2_F1_plus_60inc_plus_stats,45,1.7191383347443834e-05,0.0005160278941365682
F2_F1_plus_60inc_plus_stats,46,1.7039655567338507e-05,0.0005108204425661717
F2_F1_plus_60inc_plus_stats,47,1.7335820989061503e-05,0.0005127010137509241
F2_F1_plus_60inc_plus_stats,48,1.7149110557512192e-05,0.0005081308650877853
F2_F1_plus_60inc_plus_stats,49,1.7107235727476514e-05,0.0005076753086326826
F2_F1_plus_60inc_plus_stats,50,1.713520650066112e-05,0.0005052470205521888
F2_F1_plus_60inc_plus_stats,51,1.7172456621971822e-05,0.0005042146053402249
F2_F1_plus_60inc_plus_stats,52,1.7140569831243394e-05,0.0005013826997434555
F2_F1_plus_60inc_plus_stats,53,1.724505524767473e-05,0.0005038907985679534
F2_F1_plus_60inc_plus_stats,54,1.7118348423572198e-05,0.0005042679861199052
F2_F1_plus_60inc_plus_stats,55,1.6912597775612362e-05,0.0005026708837376973
F2_F1_plus_60inc_plus_stats,56,1.692781568318311e-05,0.0005023490124118797
F2_F1_plus_60inc_plus_stats,57,1.687558449562274e-05,0.0005034442439661094
F2_F1_plus_60inc_plus_stats,58,1.679300108726226e-05,0.0005006026932826498
F2_F1_plus_60inc_plus_stats,59,1.6735772237138183e-05,0.0004989579981378925
F2_F1_plus_60inc_plus_stats,60,1.6699893442560807e-05,0.0005021030281768019
F2_F1_plus_60inc_plus_stats,61,1.6701417047981827e-05,0.0005027087388803588
