feature_pack,stage,trial_id,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,max_samples,criterion,tune_train_r2,tune_valid_r2,tune_valid_mse,tune_train_rows,tune_valid_rows,trial_error
F1_F0_plus_cycles,B_refine,43,220,22,3,14,sqrt,False,,friedman_mse,0.9985768809677635,0.8240701360792742,0.0005804650822425349,16642.0,4085.0,
F1_F0_plus_cycles,A_coarse,11,160,26,2,12,0.35,True,0.95,friedman_mse,0.9982293330569341,0.8206378857606569,0.00046361768432617184,15473.0,5254.0,
F1_F0_plus_cycles,B_refine,41,120,24,5,16,sqrt,True,0.75,friedman_mse,0.9972216399230148,0.8186329796746533,0.0006280989073810946,17330.0,3397.0,
F1_F0_plus_cycles,A_coarse,35,200,14,2,8,sqrt,True,0.65,friedman_mse,0.9978547666574987,0.8148741035885412,0.00038710616316757067,15966.0,4761.0,
F1_F0_plus_cycles,A_coarse,22,240,14,4,12,0.25,True,0.85,squared_error,0.9979109722608761,0.8138884246530032,0.00047254804995820114,17007.0,3720.0,
F1_F0_plus_cycles,A_coarse,40,240,26,4,12,0.45,True,0.95,friedman_mse,0.9982643489115128,0.8120846538568458,0.000613357655637814,15932.0,4795.0,
F1_F0_plus_cycles,A_coarse,12,160,26,4,4,log2,True,0.65,friedman_mse,0.9976179775899764,0.7970693262058601,0.000568077843771178,16738.0,3989.0,
F1_F0_plus_cycles,A_coarse,1,160,18,3,6,0.45,True,0.75,squared_error,0.9984952826015161,0.7894906055471309,0.0006587348294876045,17423.0,3304.0,
F1_F0_plus_cycles,A_coarse,31,200,26,6,4,0.25,True,0.65,squared_error,0.997842740787938,0.7887722246265867,0.0006758732288465085,16848.0,3879.0,
F1_F0_plus_cycles,B_refine,58,220,24,3,12,0.35,False,,friedman_mse,0.998828005816164,0.7636715696610983,0.0008980859967489508,17291.0,3436.0,
F1_F0_plus_cycles,A_coarse,25,240,26,3,12,0.25,False,,friedman_mse,0.9988312926522023,0.7525304878543693,0.0006520914808626224,15881.0,4846.0,
F1_F0_plus_cycles,A_coarse,9,240,26,3,4,0.35,False,,squared_error,0.9990352151778186,0.7505475080836728,0.0007481387424966563,16991.0,3736.0,
F1_F0_plus_cycles,A_coarse,30,160,22,6,6,sqrt,False,,friedman_mse,0.9979326622383751,0.7488996242157926,0.0006878738747412179,15618.0,5109.0,
F1_F0_plus_cycles,B_refine,48,200,20,4,10,0.25,False,,friedman_mse,0.9985302217698488,0.7439485043512146,0.0010069180613304976,17409.0,3318.0,
F1_F0_plus_cycles,B_refine,57,200,26,4,10,0.2,False,,friedman_mse,0.9984464213781795,0.7422486569305381,0.0008272111677966237,16069.0,4658.0,
F1_F0_plus_cycles,B_refine,46,100,18,5,12,sqrt,False,,friedman_mse,0.9980694177725458,0.7375632720931254,0.0005462456107891888,16737.0,3990.0,
F1_F0_plus_cycles,B_refine,60,120,20,5,16,sqrt,True,0.75,friedman_mse,0.9975779611120715,0.7228166705762025,0.0009992478381178483,17269.0,3458.0,
F1_F0_plus_cycles,A_coarse,10,120,18,3,12,0.45,False,,squared_error,0.9987747197221571,0.7224748175140971,0.0006029924146056439,15748.0,4979.0,
F1_F0_plus_cycles,A_coarse,39,160,18,6,12,0.35,True,0.75,friedman_mse,0.9978610622200106,0.7208953065381465,0.0009752697216170903,16894.0,3833.0,
F1_F0_plus_cycles,A_coarse,20,160,18,2,6,sqrt,False,,friedman_mse,0.9988819881238984,0.7201622812535211,0.0008683261602522895,16965.0,3762.0,
F1_F0_plus_cycles,A_coarse,13,160,14,3,12,0.45,False,,friedman_mse,0.9987764956724114,0.718822505874268,0.0006872799822721479,16212.0,4515.0,
F1_F0_plus_cycles,B_refine,47,100,20,5,14,sqrt,False,,friedman_mse,0.9978286871817657,0.7173843913729849,0.0007465258451154031,15944.0,4783.0,
F1_F0_plus_cycles,B_refine,42,200,20,5,10,sqrt,True,0.75,friedman_mse,0.9976708071671418,0.7112928663776619,0.0010251902133036185,17576.0,3151.0,
F1_F0_plus_cycles,A_coarse,28,160,18,2,4,0.25,False,,squared_error,0.9993256230511026,0.7093940600526538,0.0006378539273750712,15717.0,5010.0,
F1_F0_plus_cycles,A_coarse,17,160,14,4,12,0.35,False,,squared_error,0.9989260884883323,0.7079391881581565,0.0007158509590363645,16325.0,4402.0,
F1_F0_plus_cycles,A_coarse,38,240,26,4,12,log2,True,0.65,squared_error,0.9970688502075691,0.7060305283963346,0.00070149930918388,15945.0,4782.0,
F1_F0_plus_cycles,A_coarse,23,120,22,3,4,0.25,False,,squared_error,0.9989727578253207,0.7031461673992838,0.0005719042246213072,14511.0,6216.0,
F1_F0_plus_cycles,A_coarse,36,120,18,6,8,0.35,False,,friedman_mse,0.9988408653127233,0.6954635099845461,0.0008184955758337655,16251.0,4476.0,
F1_F0_plus_cycles,A_coarse,21,160,14,4,4,sqrt,True,0.75,squared_error,0.9975880674669658,0.6932381345712663,0.0009950124907194117,16909.0,3818.0,
F1_F0_plus_cycles,A_coarse,32,160,22,6,12,sqrt,True,0.65,squared_error,0.9971019794479973,0.6911621580782963,0.0008361451006048673,16839.0,3888.0,
F1_F0_plus_cycles,B_refine,59,100,26,3,12,sqrt,False,,friedman_mse,0.9987518629734636,0.6871184993600522,0.0011811415173469558,17275.0,3452.0,
F1_F0_plus_cycles,A_coarse,14,200,14,4,8,0.45,False,,squared_error,0.9986082762116305,0.67504345049036,0.0007447954679347927,16492.0,4235.0,
F1_F0_plus_cycles,A_coarse,8,200,26,3,12,0.25,True,0.65,squared_error,0.9980258079378671,0.6724823056271155,0.001109919025548883,17374.0,3353.0,
F1_F0_plus_cycles,A_coarse,5,160,18,4,4,sqrt,True,0.75,friedman_mse,0.9978637271467538,0.6481774209405093,0.0007626150155014708,15963.0,4764.0,
F1_F0_plus_cycles,B_refine,50,160,18,5,14,sqrt,False,,friedman_mse,0.9983641636807415,0.6472377981609301,0.0010022221893432005,16727.0,4000.0,
F1_F0_plus_cycles,B_refine,55,160,22,4,14,0.2,True,0.7,squared_error,0.9976911662488386,0.6412106751133606,0.0009327183099032172,16608.0,4119.0,
F1_F0_plus_cycles,A_coarse,3,200,26,4,12,log2,False,,friedman_mse,0.9988211099458464,0.6405196851847901,0.0009232197946852236,16202.0,4525.0,
F1_F0_plus_cycles,A_coarse,19,200,26,6,8,sqrt,True,0.65,friedman_mse,0.9970127489555257,0.6396080397568973,0.0011420213272550232,17016.0,3711.0,
F1_F0_plus_cycles,A_coarse,29,200,22,2,12,log2,True,0.65,friedman_mse,0.9983650604693209,0.6349585293577399,0.000996828820054748,16700.0,4027.0,
F1_F0_plus_cycles,A_coarse,18,160,22,6,12,0.35,True,0.85,squared_error,0.998150077039664,0.6342965564847047,0.0013530555921412897,17299.0,3428.0,
F1_F0_plus_cycles,A_coarse,27,160,14,6,8,log2,False,,squared_error,0.997443974279974,0.619204650288157,0.001351369402353799,17155.0,3572.0,
