base_t,next_t,delta_global,weight_global,delta_cycle_0_500,weight_cycle_0_500,delta_cycle_500_1000,weight_cycle_500_1000,delta_cycle_1000_1500,weight_cycle_1000_1500,delta_cycle_1500_max,weight_cycle_1500_max,scheme
2.636680589255969,3.636680589255969,0.02452871885821385,0.07201227200868086,0.023026488005547147,0.07124471115629015,0.028088052907835042,0.07366846637174868,0.02993510710721901,0.07987631726811006,0.025326017952641826,0.06565285477191335,fixed4
2.736680589255969,3.736680589255969,0.02457931648008894,0.06938142364331469,0.023029611427328286,0.0680346727100703,0.02843887198867992,0.07110579673057812,0.02905470811182704,0.08660765739686367,0.025263437891884868,0.07437445991699278,fixed4
2.836680589255969,3.836680589255969,0.02437322934563864,0.06361222440770302,0.02275358161853883,0.061244906449137326,0.028421146298988686,0.06683676032354292,0.028665158859867278,0.08914916744191272,0.02587069678144229,0.08207940702987383,fixed4
2.9366805892559693,3.9366805892559693,0.023094384550540088,0.0549584810919626,0.02138983228862849,0.05125351379864903,0.02725808651257697,0.06091008476680095,0.027602952876470622,0.08700744494824922,0.026247565241708265,0.08709636410743556,fixed4
3.0366805892559694,4.036680589255969,0.015641256566444522,0.04478495465671853,0.014340933346534218,0.03989304828052089,0.01899511237496106,0.05352425843787495,0.017714628533857756,0.08031870368749822,0.018765313408420997,0.08764098771908106,fixed4
3.1366805892559695,4.1366805892559695,0.00773052086919735,0.03488789152607614,0.007336266458297635,0.029347682163188987,0.008821214466795242,0.04545971318925857,0.006297396835636553,0.07013116407510071,0.012894983519664536,0.08318102925955118,fixed4
3.2366805892559696,4.23668058925597,0.001900945815221558,0.026644517860667898,0.0030819440343180064,0.021038467432343798,-0.0007104200902192685,0.03790071789441063,-0.005190663773704758,0.05835161275107232,0.005712658261065239,0.07475755772469038,fixed4
3.3366805892559697,4.33668058925597,0.0021661894821893425,0.020582245579754518,0.004534163450768775,0.015278851733481508,-0.002988296284766022,0.031755667873219956,-0.010361716528314269,0.04721133401671561,0.00405874092633276,0.06435897786863395,fixed4
3.4366805892559698,4.436680589255969,0.0024252100033507235,0.016500101640115585,0.005559098642471338,0.011629957893465938,-0.004397684501069717,0.02720745437565364,-0.012690615295593432,0.038514181459296866,0.0011087502588061247,0.053966840519945804,fixed4
3.53668058925597,4.53668058925597,0.008691012807046995,0.013865661072952073,0.011496807526814699,0.009427524131431454,0.002143027744783822,0.023880249044274007,-0.001625018853062114,0.03306063744152482,0.006161638225162146,0.04485114935686614,fixed4
3.63668058925597,4.63668058925597,0.012679965882571375,0.012126266578038869,0.013309561508925613,0.008087036872800489,0.011358230219494525,0.02126167213946768,0.011224316440897502,0.03039675483356637,0.007478153642275501,0.037499363437669735,fixed4
3.73668058925597,4.73668058925597,0.013032374379475688,0.010806555086190483,0.010543533042469744,0.007159054850315449,0.0190722511929625,0.01890923591650562,0.023568356153969235,0.02899706604014617,0.007906682808487475,0.03199085119268105,fixed4
3.83668058925597,4.83668058925597,0.01119021580002054,0.009543863395474854,0.005966216053291242,0.006316998735107784,0.02327753984351698,0.016494711309328034,0.0331744819294837,0.027226867592479023,0.01029438311719692,0.028427363381399024,fixed4
