policy,n_rows,mae,rmse,r2,mape,feature_group
5_4C-60PER_3C,165,0.03234026604759292,0.046474704355333636,0.11339463248348036,0.0324488072507771,charge_only
5_4C-60PER_3_6C,191,0.03331972545908201,0.04702867619909275,-0.10285906228046615,0.03279450582740979,charge_only
5_4C-70PER_3C,169,0.04024193223006141,0.05365860884573495,0.004866471979603437,0.03975723593981122,charge_only
5_4C-80PER_5_4C,97,0.02958377538078774,0.041540723676975255,-0.028845382427468147,0.029315956646289568,charge_only
5_6C_19PER_4_6C_NEWSTRUCTURE,300,0.029701862513305203,0.04280891356107194,0.027203444031074442,0.029743758478457293,charge_only
5_6C_26PER_4_5C,61,0.04672775963733379,0.05778536028213053,0.011440104031204101,0.04502667038921482,charge_only
5_6C_26PER_4_5C_NEWSTRUCTURE,159,0.06804543497920362,0.07856733738355408,-0.2855834091590028,0.06573946090026316,charge_only
5_6C_36PER_4_3C_NEWSTRUCTURE,325,0.032733638494411035,0.04718200786013573,-0.02086282674437734,0.033073716718461814,charge_only
5_9C_15PER_4_6C_NEWSTRUCTURE,138,0.03400350680719229,0.04661335096390434,-0.03292433662368155,0.03373592944085879,charge_only
5_9C_60PER_3_1C_NEWSTRUCTURE,167,0.02559334271691436,0.03564969873643888,-0.07919543613652591,0.02549040243474657,charge_only
6C-30PER_3_6C,182,0.0355862141837232,0.049603836780628206,-0.0771134478798734,0.03531347789388493,charge_only
6C-40PER_3C,172,0.03624430728206421,0.04963645938289209,-0.3712950847239327,0.03565823724343308,charge_only
6C-40PER_3_6C,132,0.04316911739725135,0.05771073544660466,-0.08625276409422566,0.04319005684293689,charge_only
6C-50PER_3C,176,0.03643488234378572,0.05037918892760942,-0.24012687926276954,0.035775139499019094,charge_only
6C-50PER_3_6C,156,0.04712301458597111,0.061874264547497074,-0.6969223119954424,0.04540915835474417,charge_only
6C-60PER_3C,135,0.045347378458565776,0.05540053358964653,-0.3007789122887601,0.04333637163569955,charge_only
6C_60PER_3C,87,0.04264652095992023,0.06353157590629913,-0.18094254886348526,0.04042862989229373,charge_only
7C-30PER_3_6C,164,0.031171801590827032,0.041067743347643904,-0.9817994739828035,0.02960069682853247,charge_only
7C-40PER_3C,153,0.03255595556571422,0.047026162088256565,-0.1968784414829301,0.031916518888333606,charge_only
7C-40PER_3_6C,123,0.03457621324473616,0.04511408797149017,-0.7461875326004255,0.032915964389651796,charge_only
80PER_3_6C,185,0.03847593989487644,0.04984278571414051,-0.3822140815990218,0.03956063098686712,charge_only
