cycles,n_points_window,n_points_dqdv,peak_count_current,peak_count_balanced,peak1_abs_height_current,peak1_abs_height_balanced,peak1_voltage_drift_v,roughness_current,roughness_balanced
450,231,172,1,1,6.3952317484959735,6.277359389372199,0.0009756000000002985,0.09741444867206865,0.012245501703742804
451,228,173,1,1,6.2636242122143475,6.21158503579105,-0.0030031500000005096,0.07338208427010981,0.011122731664490253
452,238,171,1,1,6.494591288149758,6.385048798503677,0.0,0.07615532191237769,0.01076142184853747
453,243,172,1,1,6.553313730773585,6.333708764107813,-0.001095750000000173,0.08856674895385912,0.011405379442720133
454,235,171,1,1,6.3969271836439585,6.257741909525655,-0.0019493499999998498,0.0799586442000586,0.010360969554869879
455,221,169,1,1,6.539683236483071,6.388380593653222,0.0028815500000001215,0.09340823481820018,0.010805154357049127
456,232,171,3,1,7.9430798356926555,7.351777466635221,0.0,0.15163340828176036,0.02300512248461152
457,234,171,1,1,6.388133965889061,6.27444666905458,-0.0010333000000000148,0.07323093086151408,0.011054127311526886
458,225,169,1,1,6.365522184133322,6.221069228905158,-0.0010289999999999466,0.0775352191266504,0.009922028975811003
459,245,171,1,1,6.301255704525675,6.22772913061221,0.0018806500000003723,0.07242247600533198,0.009722022440260979
460,237,170,1,1,6.552405716110745,6.369208589733386,0.0,0.08709612182945567,0.01151848953348359
461,225,169,1,1,6.411849969226582,6.294971992972913,-0.003991549999999844,0.09293923215041715,0.012258790100080326
462,235,170,1,1,6.475224537789304,6.3066991081236266,0.003936749999999822,0.08092214248864368,0.010780560527578654
463,235,172,1,1,6.5609750158610245,6.457192276845623,0.0010628499999998375,0.0791448379705613,0.011386049619740433
464,241,170,1,1,6.660725949201714,6.547518105020325,-0.003923399999999688,0.08975155771543387,0.011371068743619175
465,230,171,1,1,6.286745229973353,6.236181592557961,0.00502104999999986,0.09015986097819338,0.011475575362117163
466,242,169,1,1,6.284015342464293,6.195828641554468,0.0,0.08540223934224667,0.011289620859607986
467,242,172,1,1,6.55218454825857,6.30503901413015,0.001086699999999663,0.09666936352933796,0.012247098418701549
468,232,172,1,1,6.368478619315576,6.2228715851496474,0.0010566999999999105,0.0656432612635125,0.009950678993216408
469,235,170,1,1,6.337782490062482,6.219756030642442,0.0010185000000002553,0.07817216515449814,0.010603802033755029
470,234,172,1,1,6.34473164850314,6.234291987377876,-0.0009966000000005693,0.07726013998531711,0.009906174008071759
471,225,172,1,1,6.338427904958282,6.201905903926172,0.008044249999999753,0.07956626934317439,0.0114736080850525
472,229,168,1,1,6.3572962594302656,6.203007192845403,-0.0010156499999998125,0.07501615193206637,0.010544698427660128
473,245,172,1,1,6.56036729623513,6.363163347090736,0.000793899999999681,0.0996947707653472,0.012094693281108782
474,242,169,1,1,6.37313341346647,6.212718940974143,0.0009197999999996931,0.07522356708103546,0.009988475861217504
475,229,171,1,1,6.492003251551706,6.378446803653608,0.0010133000000003278,0.08334833587906727,0.012195580460928722
476,228,172,1,1,6.347769045278882,6.305090550800713,0.0,0.10838473794203965,0.012607817113185293
