cross_bin,cross_label,soc_bin,rate_bin,temp_bin,cap_effect_per_1pp,cap_ci_low,cap_ci_high,cap_p_value,cap_q_value,cap_n_rows,cap_n_groups,cap_support_width_1_99,ir_effect_per_1pp,ir_ci_low,ir_ci_high,ir_p_value,ir_q_value,ir_n_rows,ir_n_groups,ir_support_width_1_99,risk_category,cap_significant_positive,ir_significant_positive,cap_ci_cross_zero,ir_ci_cross_zero,effect_rank_capacity,effect_rank_ir,max_abs_effect_per_1pp
24,s2_r1_t4,2,1,4,-5.040223453892697e-05,-0.0019886904862003,0.0026215757655794,0.935,0.935,98893,173,0.0019952682778239,-0.0008763702362431,-0.003868320743599,0.0046877810127218,0.655,0.7831521739130435,98893,173,0.0019952682778239,uncertain,False,False,True,True,27,39,0.0008763702362431
32,s2_r3_t2,2,3,2,-0.0006734928159663,-0.0011607943091575,-0.0002041818951947,0.0,0.0,98893,173,0.2561869323253631,-0.0008187187263154,-0.0014919920866708,-0.0002286369222718,0.015,0.055,98893,173,0.2561869323253631,uncertain,False,False,False,False,39,38,0.0008187187263154
22,s2_r1_t2,2,1,2,0.0003248738514406,-0.0004291000274211,0.0038457731793636,0.495,0.5918478260869565,98893,173,0.0018628475768491,-0.0006502132088767,-0.0024392839320439,0.0049400644015637,0.56,0.7333333333333334,98893,173,0.0018628475768491,uncertain,False,False,True,True,18,37,0.0006502132088767
29,s2_r2_t4,2,2,4,-0.0005712860169186,-0.0013347377758207,1.388349982557362e-05,0.065,0.1554347826086956,98893,173,0.1460468918085098,-0.0001491607103367,-0.0009941477532105,0.0005691552749788,0.615,0.7516666666666667,98893,173,0.1460468918085098,uncertain,False,False,True,True,38,28,0.0005712860169186
33,s2_r3_t3,2,3,3,-0.0005410037916625,-0.0008368497510479,-0.0002111939021994,0.0,0.0,98893,173,0.3225134313106537,-0.0003237314013928,-0.0006917919082867,6.759483753092622e-05,0.07,0.1925,98893,173,0.3225134313106537,uncertain,False,False,False,True,37,32,0.0005410037916625
31,s2_r3_t1,2,3,1,-0.0001932840637826,-0.0010799751954539,0.0002497704814421,0.405,0.5432926829268293,98893,173,0.2570273375511206,-0.0005241157462853,-0.001682745162932,-3.3748061339725183e-06,0.045,0.1546875,98893,173,0.2570273375511206,uncertain,False,False,True,False,33,36,0.0005241157462853
34,s2_r3_t4,2,3,4,-0.0004716613981721,-0.0007773253572959,-0.0002342663389012,0.0,0.0,98893,173,0.4340579235553741,-0.0004094194830149,-0.0007537366538401,-0.0001551827675302,0.005,0.0305555555555555,98893,173,0.4340579235553741,uncertain,False,False,False,False,36,35,0.0004716613981721
45,s3_r1_t5,3,1,5,0.000321397614684,-0.0003438057523959,0.0010240124023895,0.385,0.542948717948718,98893,173,0.1485312002897268,0.0004660189145289,-0.0004217925034307,0.0016947879883099,0.335,0.5118055555555556,98893,173,0.1485312002897268,uncertain,False,False,True,True,19,17,0.0004660189145289
26,s2_r2_t1,2,2,1,0.0004372966238309,-0.0004387717581595,0.0012608060809614,0.395,0.5431250000000001,98893,173,0.1482391357421875,5.0048027645513184e-05,-0.0009829008489613,0.0010805615583762,0.99,0.99,98893,173,0.1482391357421875,uncertain,False,False,True,True,17,23,0.0004372966238309
49,s3_r2_t4,3,2,4,-0.000332461561535,-0.0007921463967205,0.0001536896079937,0.165,0.292741935483871,98893,173,0.2228715866804123,-0.0003810766318161,-0.000836425078664,9.187863758330236e-05,0.1,0.22,98893,173,0.2228715866804123,uncertain,False,False,True,True,35,34,0.0003810766318161
