cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
16,share_16,y_ir_rise_h,98893,173,5.294700473456083e-05,0.20990618503757896,0.1402175577748218,,0.0,0.0,0.03859513282775879,0.03859513282775879,400,0.004386184534558647,0.021930922672793233,0.000933801406915209,0.008179948818713197,0.01,0.04230769230769231,0.004386184534558647,1,4,1,s1_r4_t1
25,share_25,y_ir_rise_h,98893,173,1.8302010279367667e-05,0.20990618503757896,-0.028684779750894895,,0.0,0.0,0.002007070481777191,0.002007070481777191,400,-0.0035555280757524127,-0.017777640378762064,-0.036511327994000704,-0.001978675010595651,0.01,0.04230769230769231,0.0035555280757524127,2,1,5,s2_r1_t5
36,share_36,y_ir_rise_h,98893,173,0.0004402869904822347,0.20990618503757896,0.052613621608246786,,0.0,0.0,0.13449381291866302,0.13449381291866302,400,0.0021038336216415883,0.010519168108207943,0.0006565652941893876,0.0034093887180847698,0.01,0.04230769230769231,0.0021038336216415883,2,4,1,s2_r4_t1
8,share_08,y_ir_rise_h,98893,173,1.8521314537178318e-08,0.20990618503757896,0.009205571674499202,,0.0,0.0,0.00017155178706161693,0.00017155178706161693,400,0.09037682620577928,0.45188413102889635,0.020304172394353306,0.5279880404315325,0.015,0.055,0.09037682620577928,1,2,3,s1_r2_t3
32,share_32,y_ir_rise_h,98893,173,0.0021627039052322383,0.20990618503757896,0.2614573069137689,,0.0,0.0,0.25618693232536316,0.25618693232536316,400,-0.0008187187263154695,-0.004093593631577348,-0.0014919920866708486,-0.00022863692227186863,0.015,0.055,0.0008187187263154695,2,3,2,s2_r3_t2
31,share_31,y_ir_rise_h,98893,173,0.0014489673316801155,0.20990618503757896,0.12310401578847785,,0.0,0.0,0.2570273375511206,0.2570273375511206,400,-0.0005241157462853516,-0.002620578731426758,-0.0016827451629320609,-3.3748061339725183e-06,0.045,0.1546875,0.0005241157462853516,2,3,1,s2_r3_t1
6,share_06,y_ir_rise_h,98893,173,1.0073633055967614e-05,0.20990618503757896,0.001984537621684934,,0.0,0.0,0.00015642800310160967,0.00015642800310160967,400,0.017808955741560464,0.08904477870780232,0.0002673671350972113,0.027698221138244227,0.05,0.16176470588235295,0.017808955741560464,1,2,1,s1_r2_t1
15,share_15,y_ir_rise_h,98893,173,0.0001241260127364898,0.20990618503757896,0.16347501554760857,,0.0,0.0,0.052525561302900314,0.052525561302900314,400,-0.0020941498664334268,-0.010470749332167134,-0.0045459252227899065,0.00018439184505900653,0.065,0.19250000000000003,0.0020941498664334268,1,3,5,s1_r3_t5
20,share_20,y_ir_rise_h,98893,173,0.00020862057063268682,0.20990618503757896,0.4206682180904642,,0.0,0.0,0.060530852526426315,0.060530852526426315,400,-0.0016154906382540941,-0.00807745319127047,-0.0034583479963945984,0.0001648740334247873,0.07,0.19250000000000003,0.0016154906382540941,1,4,5,s1_r4_t5
33,share_33,y_ir_rise_h,98893,173,0.0041878117615974314,0.20990618503757896,0.12497988494364787,,0.0,0.0,0.3225134313106537,0.3225134313106537,400,-0.00032373140139282773,-0.0016186570069641388,-0.0006917919082867689,6.759483753092622e-05,0.07,0.19250000000000003,0.00032373140139282773,2,3,3,s2_r3_t3
2,share_02,y_ir_rise_h,98893,173,1.060640914190384e-09,0.20990618503757896,0.2366094990655595,,0.0,0.0,0.0001525331899756566,0.0001525331899756566,400,-0.7064794190621766,-3.5323970953108828,-1.5919616170381483,0.0794559381214666,0.08,0.20952380952380953,0.7064794190621766,1,1,2,s1_r1_t2
