cross_bin,share_feature,outcome_col,n_rows,n_groups,var_treatment,r2_y_nuisance,r2_t_nuisance,skip_reason,share_q01,share_q50,share_q99,support_width_1_99,bootstrap_success,effect_per_1pp,effect_per_5pp,ci_low,ci_high,p_value,q_value,abs_effect_per_1pp,soc_bin,rate_bin,temp_bin,cross_label
15,share_15,y_cap_drop_h,98893,173,0.0001241260127364898,0.3134462654203637,0.16347501554760857,,0.0,0.0,0.052525561302900314,0.052525561302900314,400,-0.002930405331667855,-0.014652026658339277,-0.005319592598625323,-0.000732873288483159,0.005,0.02291666666666667,0.002930405331667855,1,3,5,s1_r3_t5
25,share_25,y_cap_drop_h,98893,173,1.8302010279367667e-05,0.3134462654203637,-0.028684779750894895,,0.0,0.0,0.002007070481777191,0.002007070481777191,400,-0.001753853149774018,-0.00876926574887009,-0.022225288853861772,-0.0009800431779049708,0.005,0.02291666666666667,0.001753853149774018,2,1,5,s2_r1_t5
36,share_36,y_cap_drop_h,98893,173,0.0004402869904822347,0.3134462654203637,0.052613621608246786,,0.0,0.0,0.13449381291866302,0.13449381291866302,400,0.0015528655440948322,0.007764327720474161,0.00045022805671022733,0.002393136558024048,0.01,0.03928571428571429,0.0015528655440948322,2,4,1,s2_r4_t1
39,share_39,y_cap_drop_h,98893,173,0.0030496403493501002,0.3134462654203637,0.15792621707693555,,0.0,0.0013178951339796185,0.2437656968832016,0.2437656968832016,400,0.0005774597115968782,0.0028872985579843913,0.00014943650969228065,0.0010306387017479154,0.01,0.03928571428571429,0.0005774597115968782,2,4,4,s2_r4_t4
5,share_05,y_cap_drop_h,98893,173,3.6364417704551957e-10,0.3134462654203637,0.0862991698191582,,0.0,0.0,0.00010636533959768738,0.00010636533959768738,400,1.246480463282167,6.232402316410836,0.23030716958731523,2.21497957221613,0.015,0.055,1.246480463282167,1,1,5,s1_r1_t5
18,share_18,y_cap_drop_h,98893,173,0.00019946800753089963,0.3134462654203637,0.15626624288610635,,0.0,0.0,0.05224660038948059,0.05224660038948059,400,0.0021276663036104725,0.010638331518052364,0.00030585443811673613,0.0035421543233081303,0.02,0.06875,0.0021276663036104725,1,4,3,s1_r4_t3
16,share_16,y_cap_drop_h,98893,173,5.294700473456083e-05,0.3134462654203637,0.1402175577748218,,0.0,0.0,0.03859513282775879,0.03859513282775879,400,0.0035635702576244143,0.017817851288122074,0.0005667465370507,0.006955340423642488,0.025,0.08088235294117647,0.0035635702576244143,1,4,1,s1_r4_t1
4,share_04,y_cap_drop_h,98893,173,6.412757850566349e-10,0.3134462654203637,0.18232914228512254,,0.0,0.0,0.0001087327813729645,0.0001087327813729645,400,-0.7172986911442587,-3.5864934557212935,-1.385755101424882,-0.1012788634410109,0.03,0.09166666666666666,0.7172986911442587,1,1,4,s1_r1_t4
42,share_42,y_cap_drop_h,98893,173,0.00857796689439572,0.3134462654203637,0.08777976997137071,,0.0,0.029786815866827965,0.37162289023399353,0.37162289023399353,400,0.00026010706118935077,0.001300535305946754,2.337468380233441e-05,0.0005034076514007391,0.04,0.11578947368421054,0.00026010706118935077,3,1,2,s3_r1_t2
2,share_02,y_cap_drop_h,98893,173,1.060640914190384e-09,0.3134462654203637,0.2366094990655595,,0.0,0.0,0.0001525331899756566,0.0001525331899756566,400,-0.5709814347992592,-2.8549071739962963,-1.2372438176695946,-0.017332033134060326,0.045,0.12375,0.5709814347992592,1,1,2,s1_r1_t2
