n_estimators,min_samples_split,min_samples_leaf,max_samples,max_features,max_depth,criterion,bootstrap,random_state,n_jobs,train_r2,valid_r2,train_rmse,valid_rmse,train_mae,valid_mae,gap
600,2,4,,0.35,28.0,squared_error,True,20260318,1,0.8024810727817085,0.5105959213054877,0.02278608170718796,0.034488065394374934,0.014129357402209759,0.024587626038653797,0.29188515147622085
1000,2,4,0.85,1.0,,squared_error,True,20260318,1,0.8074144802529065,0.509548168104388,0.022499719624227067,0.03452496298374929,0.013794041120490578,0.024349111971726723,0.29786631214851855
400,5,1,0.85,0.6,12.0,squared_error,True,20260318,1,0.7175380753534335,0.5090995613926683,0.02724866616893434,0.03454074902944804,0.017275487637077355,0.024982465302437945,0.20843851396076518
400,5,4,,0.8,,squared_error,True,20260318,1,0.8224347089840754,0.5090775228683782,0.021604505485525963,0.0345415243583469,0.013165670552679502,0.02434648971711233,0.3133571861156973
1000,5,4,,0.8,28.0,squared_error,True,20260318,1,0.8187723394584121,0.5086416291788047,0.021826169992967936,0.03455685579304467,0.013372486921089478,0.024378989391681958,0.31013071027960737
400,5,4,0.6,0.4,20.0,squared_error,True,20260318,1,0.7306822604001699,0.5086058155023996,0.026607114077762707,0.03455811514423705,0.016822341464749955,0.024785395522233526,0.22207644489777034
1000,40,1,0.95,0.4,,squared_error,True,20260318,1,0.7204588587174972,0.5074339235189107,0.02710741834569277,0.034599298233783736,0.01802550132251919,0.024824585789081297,0.21302493519858645
1000,10,6,0.75,0.5,20.0,squared_error,True,20260318,1,0.7168980444036404,0.5065143101879167,0.027279520100065038,0.0346315813530908,0.01727539949588074,0.024829200739613845,0.21038373421572365
600,10,1,0.95,0.8,12.0,squared_error,True,20260318,1,0.7033781180116341,0.5054661797336001,0.027923309131511368,0.03466833942170204,0.01779609814260471,0.025072871081283976,0.197911938278034
300,2,4,0.75,0.2,24.0,squared_error,True,20260318,1,0.7412343290489889,0.5054406557908039,0.02608066263816206,0.03466923406354323,0.01658744348759423,0.02500639710461605,0.235793673258185
800,5,2,0.95,sqrt,14.0,squared_error,True,20260318,1,0.7086301982815726,0.5053202165540001,0.027674995599135374,0.034673455277797534,0.017849043432320633,0.025269995820478137,0.20330998172757253
600,20,1,,0.35,12.0,squared_error,True,20260318,1,0.6611223479105547,0.5045952543078456,0.02984604270073115,0.034698853266496556,0.01952034974738167,0.025203495100775027,0.1565270936027091
500,2,4,0.6,0.3,28.0,squared_error,True,20260318,1,0.7413909276355386,0.5044196230586825,0.02607276975772144,0.034705003452745395,0.01648679597737618,0.0248774258589967,0.2369713045768561
400,20,2,0.75,0.35,14.0,squared_error,True,20260318,1,0.6692117813050955,0.5043135593125734,0.02948765983647439,0.03470871702366053,0.01918322399774068,0.02518256678891939,0.16489822199252213
500,10,8,,0.6,18.0,squared_error,True,20260318,1,0.7059620621255687,0.5034041519232649,0.027801419788975174,0.03474054147666118,0.017611301995160613,0.024887565339060825,0.20255791020230374
800,40,2,0.95,0.5,16.0,squared_error,True,20260318,1,0.6640700174160044,0.5031557783144576,0.02971595383587324,0.0347492281733519,0.019565545780868707,0.025068670782574163,0.16091423910154679
800,10,6,0.6,1.0,28.0,squared_error,True,20260318,1,0.7150861893603871,0.5028289337864,0.027366675459793433,0.03476065602873201,0.017272930932058304,0.02472104889230106,0.2122572555739871
500,2,8,0.85,0.8,24.0,squared_error,True,20260318,1,0.712188993524346,0.5011327774205564,0.02750546493508609,0.034819900533104915,0.017414362236010172,0.02478784020641968,0.21105621610378955
800,10,6,0.75,0.35,28.0,squared_error,True,20260318,1,0.7194111090949653,0.5011069571659179,0.0271581715617404,0.03482080162163563,0.01725503285708094,0.02495177544058557,0.2183041519290474
600,5,6,0.75,0.35,14.0,squared_error,True,20260318,1,0.6680199353281122,0.5008663921481531,0.029540734804999656,0.034829195862968794,0.018951845411857363,0.025240539311153047,0.16715354317995912
